head,relation,tail,label
D02229,DRUG_TARGET,hsa:10846,1.0
D02731,DRUG_TARGET,hsa:10846,1.0
D03217,DRUG_TARGET,hsa:10846,1.0
D03260,DRUG_TARGET,hsa:10846,1.0
D00139,DRUG_TARGET,hsa:10858,1.0
D00225,DRUG_TARGET,hsa:10858,1.0
D00380,DRUG_TARGET,hsa:10858,1.0
D00394,DRUG_TARGET,hsa:10858,1.0
D00410,DRUG_TARGET,hsa:10858,1.0
D00437,DRUG_TARGET,hsa:10858,1.0
D00542,DRUG_TARGET,hsa:10858,1.0
D00574,DRUG_TARGET,hsa:10858,1.0
D01071,DRUG_TARGET,hsa:10858,1.0
D03670,DRUG_TARGET,hsa:10858,1.0
D00002,DRUG_TARGET,hsa:109,1.0
D02335,DRUG_TARGET,hsa:10901,1.0
D00417,DRUG_TARGET,hsa:10924,1.0
D00501,DRUG_TARGET,hsa:10924,1.0
D00217,DRUG_TARGET,hsa:10935,1.0
D00577,DRUG_TARGET,hsa:10935,1.0
D03670,DRUG_TARGET,hsa:10935,1.0
D01276,DRUG_TARGET,hsa:10941,1.0
D00184,DRUG_TARGET,hsa:11072,1.0
D00002,DRUG_TARGET,hsa:111,1.0
D00002,DRUG_TARGET,hsa:112,1.0
D00043,DRUG_TARGET,hsa:11202,1.0
D00107,DRUG_TARGET,hsa:11221,1.0
D00184,DRUG_TARGET,hsa:11221,1.0
D00218,DRUG_TARGET,hsa:11238,1.0
D00519,DRUG_TARGET,hsa:11238,1.0
D00538,DRUG_TARGET,hsa:11238,1.0
D00653,DRUG_TARGET,hsa:11238,1.0
D00655,DRUG_TARGET,hsa:11238,1.0
D01196,DRUG_TARGET,hsa:11238,1.0
D03845,DRUG_TARGET,hsa:11238,1.0
D00184,DRUG_TARGET,hsa:11266,1.0
D00002,DRUG_TARGET,hsa:113,1.0
D00160,DRUG_TARGET,hsa:11330,1.0
D01346,DRUG_TARGET,hsa:11330,1.0
D01223,DRUG_TARGET,hsa:11343,1.0
D00002,DRUG_TARGET,hsa:114,1.0
D00448,DRUG_TARGET,hsa:1147,1.0
D00002,DRUG_TARGET,hsa:115,1.0
D01432,DRUG_TARGET,hsa:116447,1.0
D01911,DRUG_TARGET,hsa:116447,1.0
D02168,DRUG_TARGET,hsa:116447,1.0
D02756,DRUG_TARGET,hsa:116447,1.0
D01223,DRUG_TARGET,hsa:1178,1.0
D00043,DRUG_TARGET,hsa:1200,1.0
D00043,DRUG_TARGET,hsa:1215,1.0
D00160,DRUG_TARGET,hsa:1215,1.0
D00002,DRUG_TARGET,hsa:124,1.0
D00002,DRUG_TARGET,hsa:125,1.0
D00002,DRUG_TARGET,hsa:126,1.0
D00417,DRUG_TARGET,hsa:1267,1.0
D00501,DRUG_TARGET,hsa:1267,1.0
D00528,DRUG_TARGET,hsa:1267,1.0
D00002,DRUG_TARGET,hsa:128,1.0
D00107,DRUG_TARGET,hsa:128853,1.0
D00184,DRUG_TARGET,hsa:128853,1.0
D00900,DRUG_TARGET,hsa:129807,1.0
D00902,DRUG_TARGET,hsa:129807,1.0
D02356,DRUG_TARGET,hsa:13,1.0
D01441,DRUG_TARGET,hsa:130399,1.0
D00002,DRUG_TARGET,hsa:131,1.0
D00781,DRUG_TARGET,hsa:1312,1.0
D00786,DRUG_TARGET,hsa:1312,1.0
D00423,DRUG_TARGET,hsa:132,1.0
D02769,DRUG_TARGET,hsa:132,1.0
D00184,DRUG_TARGET,hsa:132160,1.0
D00417,DRUG_TARGET,hsa:133121,1.0
D00528,DRUG_TARGET,hsa:133121,1.0
D00107,DRUG_TARGET,hsa:134510,1.0
D00184,DRUG_TARGET,hsa:134510,1.0
D00037,DRUG_TARGET,hsa:1360,1.0
D00052,DRUG_TARGET,hsa:1363,1.0
D02176,DRUG_TARGET,hsa:1374,1.0
D02176,DRUG_TARGET,hsa:1376,1.0
D02176,DRUG_TARGET,hsa:1384,1.0
D00107,DRUG_TARGET,hsa:142679,1.0
D00184,DRUG_TARGET,hsa:142679,1.0
D03798,DRUG_TARGET,hsa:1429,1.0
D00037,DRUG_TARGET,hsa:1431,1.0
D01840,DRUG_TARGET,hsa:1432,1.0
D03115,DRUG_TARGET,hsa:1432,1.0
D01977,DRUG_TARGET,hsa:1436,1.0
D03218,DRUG_TARGET,hsa:1436,1.0
D03350,DRUG_TARGET,hsa:1436,1.0
D04024,DRUG_TARGET,hsa:1436,1.0
D01441,DRUG_TARGET,hsa:1445,1.0
D00184,DRUG_TARGET,hsa:150290,1.0
D00160,DRUG_TARGET,hsa:1504,1.0
D01346,DRUG_TARGET,hsa:1504,1.0
D00584,DRUG_TARGET,hsa:151531,1.0
D03670,DRUG_TARGET,hsa:1537,1.0
D00225,DRUG_TARGET,hsa:1543,1.0
D00380,DRUG_TARGET,hsa:1543,1.0
D00394,DRUG_TARGET,hsa:1543,1.0
D00437,DRUG_TARGET,hsa:1543,1.0
D00528,DRUG_TARGET,hsa:1543,1.0
D00569,DRUG_TARGET,hsa:1543,1.0
D00574,DRUG_TARGET,hsa:1543,1.0
D00960,DRUG_TARGET,hsa:1543,1.0
D00964,DRUG_TARGET,hsa:1543,1.0
D02451,DRUG_TARGET,hsa:1543,1.0
D03778,DRUG_TARGET,hsa:1543,1.0
D00139,DRUG_TARGET,hsa:1544,1.0
D00217,DRUG_TARGET,hsa:1544,1.0
D00225,DRUG_TARGET,hsa:1544,1.0
D00283,DRUG_TARGET,hsa:1544,1.0
D00394,DRUG_TARGET,hsa:1544,1.0
D00410,DRUG_TARGET,hsa:1544,1.0
D00454,DRUG_TARGET,hsa:1544,1.0
D00542,DRUG_TARGET,hsa:1544,1.0
D00563,DRUG_TARGET,hsa:1544,1.0
D00569,DRUG_TARGET,hsa:1544,1.0
D00574,DRUG_TARGET,hsa:1544,1.0
D00771,DRUG_TARGET,hsa:1544,1.0
D00960,DRUG_TARGET,hsa:1544,1.0
D00964,DRUG_TARGET,hsa:1544,1.0
D01425,DRUG_TARGET,hsa:1544,1.0
D02451,DRUG_TARGET,hsa:1544,1.0
D03781,DRUG_TARGET,hsa:1544,1.0
D03784,DRUG_TARGET,hsa:1544,1.0
D00139,DRUG_TARGET,hsa:1545,1.0
D00225,DRUG_TARGET,hsa:1545,1.0
D00437,DRUG_TARGET,hsa:1545,1.0
D00528,DRUG_TARGET,hsa:1545,1.0
D00960,DRUG_TARGET,hsa:1545,1.0
D00964,DRUG_TARGET,hsa:1545,1.0
D01071,DRUG_TARGET,hsa:1545,1.0
D01425,DRUG_TARGET,hsa:1545,1.0
D02451,DRUG_TARGET,hsa:1545,1.0
D03670,DRUG_TARGET,hsa:1545,1.0
D03778,DRUG_TARGET,hsa:1545,1.0
D03784,DRUG_TARGET,hsa:1545,1.0
D00139,DRUG_TARGET,hsa:1548,1.0
D00225,DRUG_TARGET,hsa:1548,1.0
D00380,DRUG_TARGET,hsa:1548,1.0
D00394,DRUG_TARGET,hsa:1548,1.0
D00410,DRUG_TARGET,hsa:1548,1.0
D00437,DRUG_TARGET,hsa:1548,1.0
D00528,DRUG_TARGET,hsa:1548,1.0
D00542,DRUG_TARGET,hsa:1548,1.0
D00574,DRUG_TARGET,hsa:1548,1.0
D00960,DRUG_TARGET,hsa:1548,1.0
D00964,DRUG_TARGET,hsa:1548,1.0
D01071,DRUG_TARGET,hsa:1548,1.0
D01425,DRUG_TARGET,hsa:1548,1.0
D02451,DRUG_TARGET,hsa:1548,1.0
D03670,DRUG_TARGET,hsa:1548,1.0
D03778,DRUG_TARGET,hsa:1548,1.0
D00225,DRUG_TARGET,hsa:1549,1.0
D00380,DRUG_TARGET,hsa:1549,1.0
D00437,DRUG_TARGET,hsa:1549,1.0
D00542,DRUG_TARGET,hsa:1549,1.0
D00574,DRUG_TARGET,hsa:1549,1.0
D00771,DRUG_TARGET,hsa:1549,1.0
D00964,DRUG_TARGET,hsa:1549,1.0
D01071,DRUG_TARGET,hsa:1549,1.0
D01425,DRUG_TARGET,hsa:1549,1.0
D02451,DRUG_TARGET,hsa:1549,1.0
D03365,DRUG_TARGET,hsa:1549,1.0
D03670,DRUG_TARGET,hsa:1549,1.0
D03778,DRUG_TARGET,hsa:1549,1.0
D03781,DRUG_TARGET,hsa:1549,1.0
D03784,DRUG_TARGET,hsa:1549,1.0
D00225,DRUG_TARGET,hsa:1551,1.0
D00380,DRUG_TARGET,hsa:1551,1.0
D00394,DRUG_TARGET,hsa:1551,1.0
D00410,DRUG_TARGET,hsa:1551,1.0
D00437,DRUG_TARGET,hsa:1551,1.0
D00528,DRUG_TARGET,hsa:1551,1.0
D00542,DRUG_TARGET,hsa:1551,1.0
D00574,DRUG_TARGET,hsa:1551,1.0
D00960,DRUG_TARGET,hsa:1551,1.0
D00964,DRUG_TARGET,hsa:1551,1.0
D01071,DRUG_TARGET,hsa:1551,1.0
D01425,DRUG_TARGET,hsa:1551,1.0
D03670,DRUG_TARGET,hsa:1551,1.0
D03778,DRUG_TARGET,hsa:1551,1.0
D03781,DRUG_TARGET,hsa:1551,1.0
D03784,DRUG_TARGET,hsa:1551,1.0
D00139,DRUG_TARGET,hsa:1553,1.0
D00225,DRUG_TARGET,hsa:1553,1.0
D00394,DRUG_TARGET,hsa:1553,1.0
D00542,DRUG_TARGET,hsa:1553,1.0
D00960,DRUG_TARGET,hsa:1553,1.0
D01071,DRUG_TARGET,hsa:1553,1.0
D01425,DRUG_TARGET,hsa:1553,1.0
D02451,DRUG_TARGET,hsa:1553,1.0
D03365,DRUG_TARGET,hsa:1553,1.0
D03670,DRUG_TARGET,hsa:1553,1.0
D03778,DRUG_TARGET,hsa:1553,1.0
D03781,DRUG_TARGET,hsa:1553,1.0
D03784,DRUG_TARGET,hsa:1553,1.0
D00139,DRUG_TARGET,hsa:1555,1.0
D00380,DRUG_TARGET,hsa:1555,1.0
D00394,DRUG_TARGET,hsa:1555,1.0
D00410,DRUG_TARGET,hsa:1555,1.0
D00437,DRUG_TARGET,hsa:1555,1.0
D00528,DRUG_TARGET,hsa:1555,1.0
D00574,DRUG_TARGET,hsa:1555,1.0
D00960,DRUG_TARGET,hsa:1555,1.0
D00964,DRUG_TARGET,hsa:1555,1.0
D01071,DRUG_TARGET,hsa:1555,1.0
D01425,DRUG_TARGET,hsa:1555,1.0
D02451,DRUG_TARGET,hsa:1555,1.0
D03670,DRUG_TARGET,hsa:1555,1.0
D03778,DRUG_TARGET,hsa:1555,1.0
D03781,DRUG_TARGET,hsa:1555,1.0
D03784,DRUG_TARGET,hsa:1555,1.0
D00139,DRUG_TARGET,hsa:1557,1.0
D00225,DRUG_TARGET,hsa:1557,1.0
D00283,DRUG_TARGET,hsa:1557,1.0
D00293,DRUG_TARGET,hsa:1557,1.0
D00380,DRUG_TARGET,hsa:1557,1.0
D00437,DRUG_TARGET,hsa:1557,1.0
D00512,DRUG_TARGET,hsa:1557,1.0
D00528,DRUG_TARGET,hsa:1557,1.0
D00533,DRUG_TARGET,hsa:1557,1.0
D00536,DRUG_TARGET,hsa:1557,1.0
D00542,DRUG_TARGET,hsa:1557,1.0
D00574,DRUG_TARGET,hsa:1557,1.0
D00882,DRUG_TARGET,hsa:1557,1.0
D00960,DRUG_TARGET,hsa:1557,1.0
D00964,DRUG_TARGET,hsa:1557,1.0
D01071,DRUG_TARGET,hsa:1557,1.0
D01425,DRUG_TARGET,hsa:1557,1.0
D02451,DRUG_TARGET,hsa:1557,1.0
D03670,DRUG_TARGET,hsa:1557,1.0
D03778,DRUG_TARGET,hsa:1557,1.0
D03781,DRUG_TARGET,hsa:1557,1.0
D03784,DRUG_TARGET,hsa:1557,1.0
D05353,DRUG_TARGET,hsa:1557,1.0
D00139,DRUG_TARGET,hsa:1558,1.0
D00252,DRUG_TARGET,hsa:1558,1.0
D00380,DRUG_TARGET,hsa:1558,1.0
D00394,DRUG_TARGET,hsa:1558,1.0
D00410,DRUG_TARGET,hsa:1558,1.0
D00437,DRUG_TARGET,hsa:1558,1.0
D00528,DRUG_TARGET,hsa:1558,1.0
D00574,DRUG_TARGET,hsa:1558,1.0
D00596,DRUG_TARGET,hsa:1558,1.0
D00960,DRUG_TARGET,hsa:1558,1.0
D00964,DRUG_TARGET,hsa:1558,1.0
D01071,DRUG_TARGET,hsa:1558,1.0
D01425,DRUG_TARGET,hsa:1558,1.0
D02356,DRUG_TARGET,hsa:1558,1.0
D02451,DRUG_TARGET,hsa:1558,1.0
D03670,DRUG_TARGET,hsa:1558,1.0
D03778,DRUG_TARGET,hsa:1558,1.0
D03781,DRUG_TARGET,hsa:1558,1.0
D03784,DRUG_TARGET,hsa:1558,1.0
D05341,DRUG_TARGET,hsa:1558,1.0
D00126,DRUG_TARGET,hsa:1559,1.0
D00139,DRUG_TARGET,hsa:1559,1.0
D00225,DRUG_TARGET,hsa:1559,1.0
D00322,DRUG_TARGET,hsa:1559,1.0
D00380,DRUG_TARGET,hsa:1559,1.0
D00394,DRUG_TARGET,hsa:1559,1.0
D00410,DRUG_TARGET,hsa:1559,1.0
D00416,DRUG_TARGET,hsa:1559,1.0
D00512,DRUG_TARGET,hsa:1559,1.0
D00528,DRUG_TARGET,hsa:1559,1.0
D00567,DRUG_TARGET,hsa:1559,1.0
D00574,DRUG_TARGET,hsa:1559,1.0
D00593,DRUG_TARGET,hsa:1559,1.0
D00882,DRUG_TARGET,hsa:1559,1.0
D00960,DRUG_TARGET,hsa:1559,1.0
D00964,DRUG_TARGET,hsa:1559,1.0
D01071,DRUG_TARGET,hsa:1559,1.0
D01425,DRUG_TARGET,hsa:1559,1.0
D02451,DRUG_TARGET,hsa:1559,1.0
D03670,DRUG_TARGET,hsa:1559,1.0
D03778,DRUG_TARGET,hsa:1559,1.0
D03781,DRUG_TARGET,hsa:1559,1.0
D03784,DRUG_TARGET,hsa:1559,1.0
D05353,DRUG_TARGET,hsa:1559,1.0
D00139,DRUG_TARGET,hsa:1562,1.0
D00225,DRUG_TARGET,hsa:1562,1.0
D00394,DRUG_TARGET,hsa:1562,1.0
D00528,DRUG_TARGET,hsa:1562,1.0
D00542,DRUG_TARGET,hsa:1562,1.0
D00960,DRUG_TARGET,hsa:1562,1.0
D01425,DRUG_TARGET,hsa:1562,1.0
D02451,DRUG_TARGET,hsa:1562,1.0
D03670,DRUG_TARGET,hsa:1562,1.0
D03781,DRUG_TARGET,hsa:1562,1.0
D03784,DRUG_TARGET,hsa:1562,1.0
D00139,DRUG_TARGET,hsa:1565,1.0
D00217,DRUG_TARGET,hsa:1565,1.0
D00225,DRUG_TARGET,hsa:1565,1.0
D00234,DRUG_TARGET,hsa:1565,1.0
D00274,DRUG_TARGET,hsa:1565,1.0
D00283,DRUG_TARGET,hsa:1565,1.0
D00300,DRUG_TARGET,hsa:1565,1.0
D00380,DRUG_TARGET,hsa:1565,1.0
D00394,DRUG_TARGET,hsa:1565,1.0
D00410,DRUG_TARGET,hsa:1565,1.0
D00454,DRUG_TARGET,hsa:1565,1.0
D00503,DRUG_TARGET,hsa:1565,1.0
D00521,DRUG_TARGET,hsa:1565,1.0
D00528,DRUG_TARGET,hsa:1565,1.0
D00563,DRUG_TARGET,hsa:1565,1.0
D00574,DRUG_TARGET,hsa:1565,1.0
D00960,DRUG_TARGET,hsa:1565,1.0
D01164,DRUG_TARGET,hsa:1565,1.0
D01425,DRUG_TARGET,hsa:1565,1.0
D02342,DRUG_TARGET,hsa:1565,1.0
D02451,DRUG_TARGET,hsa:1565,1.0
D02671,DRUG_TARGET,hsa:1565,1.0
D03778,DRUG_TARGET,hsa:1565,1.0
D03781,DRUG_TARGET,hsa:1565,1.0
D03784,DRUG_TARGET,hsa:1565,1.0
D00131,DRUG_TARGET,hsa:1571,1.0
D00139,DRUG_TARGET,hsa:1571,1.0
D00217,DRUG_TARGET,hsa:1571,1.0
D00225,DRUG_TARGET,hsa:1571,1.0
D00380,DRUG_TARGET,hsa:1571,1.0
D00394,DRUG_TARGET,hsa:1571,1.0
D00410,DRUG_TARGET,hsa:1571,1.0
D00544,DRUG_TARGET,hsa:1571,1.0
D00771,DRUG_TARGET,hsa:1571,1.0
D01071,DRUG_TARGET,hsa:1571,1.0
D01425,DRUG_TARGET,hsa:1571,1.0
D02451,DRUG_TARGET,hsa:1571,1.0
D03778,DRUG_TARGET,hsa:1571,1.0
D03781,DRUG_TARGET,hsa:1571,1.0
D03784,DRUG_TARGET,hsa:1571,1.0
D00139,DRUG_TARGET,hsa:1572,1.0
D00225,DRUG_TARGET,hsa:1572,1.0
D00380,DRUG_TARGET,hsa:1572,1.0
D00394,DRUG_TARGET,hsa:1572,1.0
D00410,DRUG_TARGET,hsa:1572,1.0
D00437,DRUG_TARGET,hsa:1572,1.0
D00528,DRUG_TARGET,hsa:1572,1.0
D00542,DRUG_TARGET,hsa:1572,1.0
D00574,DRUG_TARGET,hsa:1572,1.0
D01071,DRUG_TARGET,hsa:1572,1.0
D01425,DRUG_TARGET,hsa:1572,1.0
D02451,DRUG_TARGET,hsa:1572,1.0
D03670,DRUG_TARGET,hsa:1572,1.0
D03781,DRUG_TARGET,hsa:1572,1.0
D03784,DRUG_TARGET,hsa:1572,1.0
D00139,DRUG_TARGET,hsa:1573,1.0
D00394,DRUG_TARGET,hsa:1573,1.0
D00410,DRUG_TARGET,hsa:1573,1.0
D00437,DRUG_TARGET,hsa:1573,1.0
D00528,DRUG_TARGET,hsa:1573,1.0
D00542,DRUG_TARGET,hsa:1573,1.0
D00960,DRUG_TARGET,hsa:1573,1.0
D00964,DRUG_TARGET,hsa:1573,1.0
D01071,DRUG_TARGET,hsa:1573,1.0
D01425,DRUG_TARGET,hsa:1573,1.0
D02451,DRUG_TARGET,hsa:1573,1.0
D03670,DRUG_TARGET,hsa:1573,1.0
D03778,DRUG_TARGET,hsa:1573,1.0
D03781,DRUG_TARGET,hsa:1573,1.0
D03784,DRUG_TARGET,hsa:1573,1.0
D00136,DRUG_TARGET,hsa:1576,1.0
D00139,DRUG_TARGET,hsa:1576,1.0
D00234,DRUG_TARGET,hsa:1576,1.0
D00252,DRUG_TARGET,hsa:1576,1.0
D00274,DRUG_TARGET,hsa:1576,1.0
D00283,DRUG_TARGET,hsa:1576,1.0
D00293,DRUG_TARGET,hsa:1576,1.0
D00364,DRUG_TARGET,hsa:1576,1.0
D00380,DRUG_TARGET,hsa:1576,1.0
D00387,DRUG_TARGET,hsa:1576,1.0
D00394,DRUG_TARGET,hsa:1576,1.0
D00410,DRUG_TARGET,hsa:1576,1.0
D00434,DRUG_TARGET,hsa:1576,1.0
D00437,DRUG_TARGET,hsa:1576,1.0
D00503,DRUG_TARGET,hsa:1576,1.0
D00521,DRUG_TARGET,hsa:1576,1.0
D00528,DRUG_TARGET,hsa:1576,1.0
D00542,DRUG_TARGET,hsa:1576,1.0
D00550,DRUG_TARGET,hsa:1576,1.0
D00563,DRUG_TARGET,hsa:1576,1.0
D00574,DRUG_TARGET,hsa:1576,1.0
D00964,DRUG_TARGET,hsa:1576,1.0
D01071,DRUG_TARGET,hsa:1576,1.0
D01425,DRUG_TARGET,hsa:1576,1.0
D01973,DRUG_TARGET,hsa:1576,1.0
D02451,DRUG_TARGET,hsa:1576,1.0
D03670,DRUG_TARGET,hsa:1576,1.0
D03778,DRUG_TARGET,hsa:1576,1.0
D03781,DRUG_TARGET,hsa:1576,1.0
D03784,DRUG_TARGET,hsa:1576,1.0
D05353,DRUG_TARGET,hsa:1576,1.0
D00139,DRUG_TARGET,hsa:1577,1.0
D00225,DRUG_TARGET,hsa:1577,1.0
D00394,DRUG_TARGET,hsa:1577,1.0
D00410,DRUG_TARGET,hsa:1577,1.0
D00437,DRUG_TARGET,hsa:1577,1.0
D00528,DRUG_TARGET,hsa:1577,1.0
D00542,DRUG_TARGET,hsa:1577,1.0
D00960,DRUG_TARGET,hsa:1577,1.0
D00964,DRUG_TARGET,hsa:1577,1.0
D01071,DRUG_TARGET,hsa:1577,1.0
D01425,DRUG_TARGET,hsa:1577,1.0
D02451,DRUG_TARGET,hsa:1577,1.0
D03670,DRUG_TARGET,hsa:1577,1.0
D03781,DRUG_TARGET,hsa:1577,1.0
D03784,DRUG_TARGET,hsa:1577,1.0
D00139,DRUG_TARGET,hsa:1579,1.0
D00225,DRUG_TARGET,hsa:1579,1.0
D00380,DRUG_TARGET,hsa:1579,1.0
D00394,DRUG_TARGET,hsa:1579,1.0
D00410,DRUG_TARGET,hsa:1579,1.0
D00528,DRUG_TARGET,hsa:1579,1.0
D00542,DRUG_TARGET,hsa:1579,1.0
D00574,DRUG_TARGET,hsa:1579,1.0
D01071,DRUG_TARGET,hsa:1579,1.0
D00139,DRUG_TARGET,hsa:1580,1.0
D00225,DRUG_TARGET,hsa:1580,1.0
D00380,DRUG_TARGET,hsa:1580,1.0
D00394,DRUG_TARGET,hsa:1580,1.0
D00410,DRUG_TARGET,hsa:1580,1.0
D00437,DRUG_TARGET,hsa:1580,1.0
D00528,DRUG_TARGET,hsa:1580,1.0
D00542,DRUG_TARGET,hsa:1580,1.0
D00574,DRUG_TARGET,hsa:1580,1.0
D00960,DRUG_TARGET,hsa:1580,1.0
D00964,DRUG_TARGET,hsa:1580,1.0
D01071,DRUG_TARGET,hsa:1580,1.0
D01425,DRUG_TARGET,hsa:1580,1.0
D02451,DRUG_TARGET,hsa:1580,1.0
D03778,DRUG_TARGET,hsa:1580,1.0
D03781,DRUG_TARGET,hsa:1580,1.0
D03784,DRUG_TARGET,hsa:1580,1.0
D00139,DRUG_TARGET,hsa:1581,1.0
D00380,DRUG_TARGET,hsa:1581,1.0
D00394,DRUG_TARGET,hsa:1581,1.0
D00410,DRUG_TARGET,hsa:1581,1.0
D00437,DRUG_TARGET,hsa:1581,1.0
D00528,DRUG_TARGET,hsa:1581,1.0
D00542,DRUG_TARGET,hsa:1581,1.0
D00574,DRUG_TARGET,hsa:1581,1.0
D01071,DRUG_TARGET,hsa:1581,1.0
D03670,DRUG_TARGET,hsa:1581,1.0
D00139,DRUG_TARGET,hsa:1582,1.0
D00225,DRUG_TARGET,hsa:1582,1.0
D00380,DRUG_TARGET,hsa:1582,1.0
D00394,DRUG_TARGET,hsa:1582,1.0
D00542,DRUG_TARGET,hsa:1582,1.0
D00574,DRUG_TARGET,hsa:1582,1.0
D01071,DRUG_TARGET,hsa:1582,1.0
D03670,DRUG_TARGET,hsa:1582,1.0
D00139,DRUG_TARGET,hsa:1583,1.0
D00380,DRUG_TARGET,hsa:1583,1.0
D00394,DRUG_TARGET,hsa:1583,1.0
D00437,DRUG_TARGET,hsa:1583,1.0
D00528,DRUG_TARGET,hsa:1583,1.0
D00542,DRUG_TARGET,hsa:1583,1.0
D00574,DRUG_TARGET,hsa:1583,1.0
D00139,DRUG_TARGET,hsa:1584,1.0
D00225,DRUG_TARGET,hsa:1584,1.0
D00380,DRUG_TARGET,hsa:1584,1.0
D00394,DRUG_TARGET,hsa:1584,1.0
D00437,DRUG_TARGET,hsa:1584,1.0
D00542,DRUG_TARGET,hsa:1584,1.0
D00574,DRUG_TARGET,hsa:1584,1.0
D03670,DRUG_TARGET,hsa:1584,1.0
D00225,DRUG_TARGET,hsa:1585,1.0
D00380,DRUG_TARGET,hsa:1585,1.0
D00528,DRUG_TARGET,hsa:1585,1.0
D00542,DRUG_TARGET,hsa:1585,1.0
D00574,DRUG_TARGET,hsa:1585,1.0
D01071,DRUG_TARGET,hsa:1585,1.0
D03670,DRUG_TARGET,hsa:1585,1.0
D00139,DRUG_TARGET,hsa:1586,1.0
D00225,DRUG_TARGET,hsa:1586,1.0
D00380,DRUG_TARGET,hsa:1586,1.0
D00394,DRUG_TARGET,hsa:1586,1.0
D00410,DRUG_TARGET,hsa:1586,1.0
D00437,DRUG_TARGET,hsa:1586,1.0
D00528,DRUG_TARGET,hsa:1586,1.0
D00542,DRUG_TARGET,hsa:1586,1.0
D00574,DRUG_TARGET,hsa:1586,1.0
D01071,DRUG_TARGET,hsa:1586,1.0
D03781,DRUG_TARGET,hsa:1586,1.0
D03784,DRUG_TARGET,hsa:1586,1.0
D00153,DRUG_TARGET,hsa:1588,1.0
D00225,DRUG_TARGET,hsa:1588,1.0
D00380,DRUG_TARGET,hsa:1588,1.0
D00394,DRUG_TARGET,hsa:1588,1.0
D00410,DRUG_TARGET,hsa:1588,1.0
D00437,DRUG_TARGET,hsa:1588,1.0
D00528,DRUG_TARGET,hsa:1588,1.0
D00542,DRUG_TARGET,hsa:1588,1.0
D00574,DRUG_TARGET,hsa:1588,1.0
D00960,DRUG_TARGET,hsa:1588,1.0
D01071,DRUG_TARGET,hsa:1588,1.0
D01425,DRUG_TARGET,hsa:1588,1.0
D02451,DRUG_TARGET,hsa:1588,1.0
D03670,DRUG_TARGET,hsa:1588,1.0
D03778,DRUG_TARGET,hsa:1588,1.0
D03781,DRUG_TARGET,hsa:1588,1.0
D00139,DRUG_TARGET,hsa:1589,1.0
D00380,DRUG_TARGET,hsa:1589,1.0
D00394,DRUG_TARGET,hsa:1589,1.0
D00410,DRUG_TARGET,hsa:1589,1.0
D00437,DRUG_TARGET,hsa:1589,1.0
D00528,DRUG_TARGET,hsa:1589,1.0
D00542,DRUG_TARGET,hsa:1589,1.0
D01071,DRUG_TARGET,hsa:1589,1.0
D03670,DRUG_TARGET,hsa:1589,1.0
D00188,DRUG_TARGET,hsa:1593,1.0
D00225,DRUG_TARGET,hsa:1593,1.0
